dataset,index,direction,variant,mapping_cpu,mapping_wall,capped,best_representative_events,best_verified_events,full_representatives,target_score,target_status,recovery
holdout,61,R_to_P,original,0.6202821939999997,0.16705914121121168,False,0,,11,,,unknown
holdout,61,R_to_P,metal_binary,0.6471208749999999,0.19174788519740105,False,0,,11,,,unknown
holdout,62,R_to_P,original,0.545795584,0.15051525738090277,False,1,,10,,,unknown
holdout,62,R_to_P,metal_binary,0.5366371839999999,0.1541705336421728,False,1,,10,,,unknown
holdout,63,R_to_P,original,0.555888982,0.16713885217905045,False,0,,7,,,unknown
holdout,63,R_to_P,metal_binary,0.5466216770000001,0.15527192875742912,False,0,,7,,,unknown
holdout,65,R_to_P,original,0.6523597670000001,0.18167430628091097,False,3,,101,,,unknown
holdout,65,R_to_P,metal_binary,0.637806319,0.17204859759658575,False,3,,101,,,unknown
holdout,66,R_to_P,original,0.5360098479999998,0.16152479499578476,False,3,,18,,,unknown
holdout,66,R_to_P,metal_binary,0.544698893,0.14510736986994743,False,3,,18,,,unknown
holdout,67,R_to_P,original,0.5649306709999999,0.14473040774464607,False,2,,22,,,unknown
holdout,67,R_to_P,metal_binary,0.543530951,0.14920305367559195,False,2,,22,,,unknown
holdout,68,R_to_P,original,22.441932944,3.438961817882955,False,3,,250,,,unknown
holdout,68,R_to_P,metal_binary,25.087475577,5.57315987162292,False,3,,960,,,unknown
holdout,69,R_to_P,original,26.890701699,4.243369350209832,False,3,,252,,,unknown
holdout,69,R_to_P,metal_binary,29.345514338,4.571087767370045,False,3,,235,,,unknown
holdout,70,R_to_P,original,11.988071095,8.717700405977666,True,3,,1106,,,unknown
holdout,70,R_to_P,metal_binary,11.918129893,8.74873922020197,True,3,,1106,,,unknown
holdout,71,R_to_P,original,9.250184045,5.162270862609148,True,4,,2530,,,unknown
holdout,71,R_to_P,metal_binary,9.405170156000002,5.255760630592704,True,4,,2530,,,unknown
holdout,72,R_to_P,original,1.6760998880000002,0.41285646334290504,False,5,,77,,,unknown
holdout,72,R_to_P,metal_binary,1.68430133,0.39091990981251,False,5,,77,,,unknown
holdout,73,R_to_P,original,0.8864787790000002,0.22976276744157076,False,2,,62,,,unknown
holdout,73,R_to_P,metal_binary,0.8444061720000002,0.22095803823322058,False,2,,62,,,unknown
holdout,74,R_to_P,original,1.3310660030000003,0.316237585619092,False,2,,34,,,unknown
holdout,74,R_to_P,metal_binary,1.3596618420000004,0.33103418722748756,False,2,,34,,,unknown
holdout,75,R_to_P,original,1.2830802799999999,0.3099037827923894,False,2,,43,,,unknown
holdout,75,R_to_P,metal_binary,1.2617557729999995,0.30864948965609074,False,2,,43,,,unknown
holdout,76,R_to_P,original,25.314045358,3.632431319914758,False,3,,117,,,unknown
holdout,76,R_to_P,metal_binary,26.926445629,3.9353559901937842,False,3,,519,,,unknown
holdout,77,R_to_P,original,14.899742008,2.406311902217567,False,4,,562,,,unknown
holdout,77,R_to_P,metal_binary,86.68233929899999,22.297122654505074,True,4,,23983,,,unknown
holdout,78,R_to_P,original,0.6346324339999999,0.17163703218102455,False,4,,45,,,unknown
holdout,78,R_to_P,metal_binary,0.6321358690000002,0.16833373438566923,False,4,,45,,,unknown
holdout,79,R_to_P,original,0.630987438,0.17014344409108162,False,0,,26,,,unknown
holdout,79,R_to_P,metal_binary,0.6207862520000001,0.17242462281137705,False,0,,26,,,unknown
holdout,80,R_to_P,original,0.612463145,0.18883244041353464,False,2,,35,,,unknown
holdout,80,R_to_P,metal_binary,0.6400982849999998,0.16828903276473284,False,2,,35,,,unknown
holdout,81,R_to_P,original,0.6423313689999998,0.16027373913675547,False,3,,40,,,unknown
holdout,81,R_to_P,metal_binary,0.6470369420000002,0.17521649226546288,False,3,,40,,,unknown
holdout,82,R_to_P,original,1.463319738,0.3281487273052335,False,4,,166,,,unknown
holdout,82,R_to_P,metal_binary,1.500974137,0.33123519644141197,False,4,,166,,,unknown
holdout,83,R_to_P,original,1.5236959689999998,0.3443489680066705,False,3,,209,,,unknown
holdout,83,R_to_P,metal_binary,1.5368481529999996,0.35598366148769855,False,3,,209,,,unknown
holdout,84,R_to_P,original,1.5615240469999998,0.34598533902317286,False,3,,210,,,unknown
holdout,84,R_to_P,metal_binary,1.5673434800000001,0.34566553868353367,False,3,,211,,,unknown
holdout,85,R_to_P,original,1.5521907519999998,0.3481074869632721,False,3,,194,,,unknown
holdout,85,R_to_P,metal_binary,1.5008514300000002,0.32918992824852467,False,3,,194,,,unknown
holdout,86,R_to_P,original,6.847098807,1.1641740566119552,False,3,,97,,,unknown
holdout,86,R_to_P,metal_binary,7.024155459999999,1.1371168373152614,False,3,,97,,,unknown
holdout,87,R_to_P,original,5.453858735,0.9713227208703756,False,4,,118,,,unknown
holdout,87,R_to_P,metal_binary,6.495760873999999,1.0787283014506102,False,4,,117,,,unknown
holdout,88,R_to_P,original,5.441325092999999,0.9746999256312847,False,4,,103,,,unknown
holdout,88,R_to_P,metal_binary,5.425678267,0.978770543821156,False,4,,101,,,unknown
holdout,89,R_to_P,original,6.837724454000001,1.2064680522307754,False,0,,383,,,unknown
holdout,89,R_to_P,metal_binary,8.833503691999999,1.4772281302139163,False,0,,383,,,unknown
holdout,90,R_to_P,original,7.762254983,1.4430160587653518,False,6,,731,,,unknown
holdout,90,R_to_P,metal_binary,8.73688401,1.5690379971638322,False,6,,810,,,unknown
holdout,91,R_to_P,original,5.341904373000001,0.9797021020203829,False,2,,407,,,unknown
holdout,91,R_to_P,metal_binary,6.159851064,1.24812135938555,False,2,,700,,,unknown
holdout,92,R_to_P,original,4.094650779999999,0.7142446776852012,False,2,,167,,,unknown
holdout,92,R_to_P,metal_binary,4.147016386000001,0.7307462161406875,False,2,,167,,,unknown
holdout,93,R_to_P,original,1.3520729889999998,0.3495366061106324,False,3,,271,,,unknown
holdout,93,R_to_P,metal_binary,1.1006021209999999,0.2983941789716482,False,3,,84,,,unknown
holdout,94,R_to_P,original,0.990268146,0.2767334524542093,False,1,,52,,,unknown
holdout,94,R_to_P,metal_binary,1.0247143589999999,0.24470968078821898,False,1,,56,,,unknown
holdout,95,R_to_P,original,0.9842915409999997,0.26067362911999226,False,2,,42,,,unknown
holdout,95,R_to_P,metal_binary,1.0564264719999998,0.2559617469087243,False,2,,42,,,unknown
holdout,96,R_to_P,original,0.8061395920000001,0.22472384944558144,False,2,,45,,,unknown
holdout,96,R_to_P,metal_binary,0.8080009789999998,0.2128248903900385,False,2,,45,,,unknown
holdout,97,R_to_P,original,4.592151662999999,2.027850540354848,False,5,,1838,,,unknown
holdout,97,R_to_P,metal_binary,8.045872149,3.432781937532127,True,5,,3197,,,unknown
holdout,98,R_to_P,original,2.8090486360000004,0.9026046814396977,False,2,,1502,,,unknown
holdout,98,R_to_P,metal_binary,1.2620248799999998,0.3277458054944873,False,2,,356,,,unknown
holdout,99,R_to_P,original,0.9010106709999999,0.24348641466349363,False,2,,90,,,unknown
holdout,99,R_to_P,metal_binary,1.0027782729999999,0.2457046890631318,False,2,,138,,,unknown
