index,recovered,binary,weighted,r_to_p,p_to_r,uncut,cut_only,completed_calls,candidate_outputs,mapping_errors,invalid_predictions,fully_swept_valid
368,True,True,True,True,True,True,True,132,288,0,0,True
369,True,True,True,True,True,True,True,86,86,0,0,True
370,True,True,True,True,True,True,True,96,142,0,0,True
371,True,True,True,True,True,True,True,188,191,0,0,True
372,True,True,True,True,True,True,True,314,448,0,0,True
373,True,True,True,True,True,True,True,228,228,0,0,True
374,True,True,True,True,True,True,True,250,302,0,0,True
375,True,True,True,True,True,True,True,152,162,0,0,True
376,True,True,True,True,True,True,True,144,202,0,0,True
377,True,True,True,True,True,True,True,170,189,0,0,True
378,True,True,True,True,False,False,True,98,182,0,0,True
379,True,True,True,True,True,True,True,96,99,0,0,True
380,True,True,True,True,True,True,True,208,208,0,0,True
381,True,True,True,True,True,True,True,244,476,0,0,True
382,True,True,True,True,True,True,True,148,148,0,0,True
383,True,True,True,True,True,True,True,150,157,0,0,True
384,True,True,True,True,True,True,True,176,183,0,0,True
385,True,True,True,True,True,True,True,156,168,0,0,True
386,True,True,True,False,True,False,True,154,304,0,0,True
387,True,True,True,True,True,True,True,68,85,0,0,True
388,True,True,True,True,True,True,True,180,200,0,0,True
389,True,True,True,True,True,True,True,88,92,0,0,True
390,True,True,True,True,True,True,True,68,120,0,0,True
391,True,True,True,True,True,True,True,124,152,0,0,True
392,True,True,True,True,True,True,True,70,70,0,0,True
393,True,True,True,True,True,True,True,134,147,0,0,True
394,True,True,True,True,True,False,True,88,130,0,0,True
395,True,True,True,True,True,True,True,78,106,0,0,True
396,True,True,True,True,True,True,True,144,168,0,0,True
397,True,True,True,True,True,True,True,110,165,0,0,True
398,True,True,True,True,True,True,True,48,87,0,0,True
399,True,True,True,True,True,True,True,90,96,0,0,True
400,True,True,True,True,True,False,True,160,510,0,0,True
401,True,True,True,True,True,True,True,140,530,0,0,True
402,True,True,True,True,True,True,True,78,78,0,0,True
403,True,True,True,True,True,True,True,356,362,0,0,True
404,True,True,True,True,True,True,True,144,151,0,0,True
405,True,True,True,True,True,True,True,176,176,0,0,True
406,True,True,True,True,True,True,True,212,227,0,0,True
407,True,True,True,True,True,True,True,156,166,0,0,True
408,True,True,True,True,True,True,True,180,189,0,0,True
409,True,True,True,True,True,True,True,82,216,0,0,True
410,True,True,True,True,True,False,True,280,327,0,0,True
411,True,True,True,True,True,True,True,252,594,0,0,True
412,True,True,True,True,True,True,True,244,248,0,0,True
413,True,True,True,True,True,True,True,166,168,0,0,True
414,True,True,True,True,True,True,True,130,130,0,0,True
415,True,True,True,True,True,True,True,158,166,0,0,True
416,True,True,True,True,True,True,True,152,152,0,0,True
417,True,True,True,True,True,True,True,228,256,0,0,True
418,True,True,True,True,True,True,True,176,176,0,0,True
419,True,True,True,True,True,True,True,152,166,0,0,True
420,True,True,True,True,True,True,True,256,260,0,0,True
421,True,True,True,True,True,True,True,162,241,0,0,True
422,True,True,True,True,True,True,True,140,166,0,0,True
423,True,True,True,True,True,True,True,356,359,0,0,True
424,True,True,True,True,True,True,True,184,184,0,0,True
425,True,True,True,True,True,True,True,144,174,0,0,True
426,True,True,True,True,True,True,True,212,216,0,0,True
427,True,True,True,True,True,True,True,236,243,0,0,True
428,True,True,True,True,True,True,True,264,275,0,0,True
429,True,True,True,True,True,True,True,106,116,0,0,True
430,True,True,True,True,True,True,True,256,259,0,0,True
431,True,True,True,True,True,True,True,280,280,0,0,True
432,True,True,True,True,True,True,True,180,291,0,0,True
433,True,True,True,True,True,True,True,172,172,0,0,True
434,True,True,True,True,True,True,True,212,271,0,0,True
435,True,True,True,True,True,True,True,220,226,0,0,True
436,True,True,True,True,True,True,True,200,204,0,0,True
437,True,True,True,True,True,True,True,124,128,0,0,True
438,True,True,True,True,True,True,True,196,196,0,0,True
439,True,True,True,True,True,True,True,272,391,0,0,True
440,True,True,True,True,True,True,True,112,114,0,0,True
441,True,True,True,True,True,True,True,174,267,0,0,True
442,True,True,True,True,True,True,True,192,228,0,0,True
443,True,True,True,True,True,True,True,116,237,0,0,True
444,True,True,True,True,True,True,True,216,222,0,0,True
445,True,True,True,True,True,True,True,168,190,0,0,True
446,True,True,True,False,True,False,True,272,296,0,0,True
447,True,True,True,True,True,True,True,108,200,0,0,True
448,True,True,True,True,True,True,True,254,329,0,0,True
449,True,True,True,True,True,True,True,162,166,0,0,True
450,True,True,True,True,True,True,True,138,138,0,0,True
451,True,True,True,True,True,True,True,160,164,0,0,True
452,True,True,True,True,True,True,True,152,164,0,0,True
453,True,True,True,True,True,True,True,336,347,0,0,True
454,True,True,True,True,True,True,True,252,385,0,0,True
455,True,True,True,True,True,True,True,128,128,0,0,True
456,True,True,True,True,True,True,True,216,219,0,0,True
457,True,True,True,True,True,True,True,112,279,0,0,True
458,True,True,True,True,True,True,True,144,146,0,0,True
459,True,True,True,True,True,True,True,190,198,0,0,True
460,True,True,True,True,True,True,True,126,126,0,0,True
461,True,True,True,True,True,True,True,230,244,0,0,True
462,True,True,True,True,True,True,True,252,270,0,0,True
463,True,True,True,True,True,True,True,288,304,0,0,True
464,True,True,True,True,True,True,True,194,227,0,0,True
465,True,True,True,True,True,True,True,182,186,0,0,True
466,True,True,True,True,True,True,True,198,220,0,0,True
467,True,True,True,True,True,True,True,90,94,0,0,True
468,True,True,True,True,True,True,True,128,138,0,0,True
469,True,True,True,True,True,True,True,180,180,0,0,True
470,True,True,True,True,True,True,True,144,159,0,0,True
471,True,True,True,True,True,True,True,200,204,0,0,True
472,True,True,True,True,True,True,True,164,164,0,0,True
473,True,True,True,True,True,True,True,182,194,0,0,True
474,True,True,True,True,True,True,True,152,196,0,0,True
475,True,True,True,True,True,True,True,134,157,0,0,True
476,True,True,True,True,True,True,True,82,95,0,0,True
477,True,True,True,True,True,True,True,240,242,0,0,True
478,True,True,True,True,True,True,True,128,140,0,0,True
479,True,True,True,True,True,True,True,164,178,0,0,True
480,True,True,True,True,True,True,True,160,323,0,0,True
481,True,True,True,True,True,True,True,218,222,0,0,True
482,True,True,True,True,True,True,True,92,116,0,0,True
483,True,True,True,True,True,True,True,110,213,0,0,True
484,True,True,True,True,True,True,True,188,190,0,0,True
485,True,True,True,True,True,True,True,334,358,0,0,True
486,True,True,True,True,True,True,True,176,180,0,0,True
487,True,True,True,True,True,True,True,126,136,0,0,True
488,True,True,True,True,True,True,True,148,174,0,0,True
489,True,True,True,True,True,True,True,138,141,0,0,True
490,True,True,True,True,True,True,True,262,280,0,0,True
491,True,True,True,True,True,True,True,206,457,0,0,True
492,True,True,True,True,True,True,True,186,188,0,0,True
493,True,True,True,True,True,True,True,188,188,0,0,True
494,True,True,True,False,True,False,True,90,186,0,0,True
495,True,True,True,True,True,True,True,238,244,0,0,True
496,True,True,True,True,True,True,True,242,270,0,0,True
497,True,True,True,True,True,True,True,232,289,0,0,True
498,True,True,True,True,True,True,True,124,126,0,0,True
499,True,True,True,True,True,True,True,156,156,0,0,True
500,True,True,True,True,True,True,True,136,204,0,0,True
501,True,True,True,True,True,True,True,138,138,0,0,True
502,True,True,True,True,True,True,True,118,124,0,0,True
503,True,True,True,True,True,True,True,146,154,0,0,True
504,True,True,True,True,True,True,True,166,170,0,0,True
505,True,True,True,True,True,True,True,124,136,0,0,True
506,True,True,True,True,True,True,True,184,187,0,0,True
507,True,True,True,True,True,True,True,240,240,0,0,True
508,True,True,True,True,True,True,True,134,134,0,0,True
509,True,True,True,True,True,True,True,124,132,0,0,True
510,True,True,True,True,True,True,True,158,313,0,0,True
511,True,True,True,True,True,False,True,112,599,0,0,True
512,True,True,True,True,True,True,True,80,86,0,0,True
513,True,True,True,True,True,True,True,180,183,0,0,True
514,True,True,True,True,True,True,True,140,152,0,0,True
515,True,True,True,True,True,True,True,152,152,0,0,True
516,True,True,True,True,True,True,True,268,268,0,0,True
517,True,True,True,True,True,True,True,106,153,0,0,True
518,True,True,True,True,True,True,True,212,220,0,0,True
519,True,True,True,True,True,True,True,186,186,0,0,True
520,True,True,True,True,True,True,True,140,147,0,0,True
521,True,True,True,True,True,True,True,228,292,0,0,True
522,True,True,True,True,True,True,True,128,132,0,0,True
523,True,True,True,True,True,True,True,148,160,0,0,True
524,True,True,True,True,True,True,True,174,177,0,0,True
525,True,True,True,True,True,True,True,156,156,0,0,True
526,True,True,True,True,True,True,True,76,174,0,0,True
527,True,True,True,True,True,True,True,216,232,0,0,True
528,True,True,True,True,True,True,True,216,284,0,0,True
529,True,True,True,True,True,True,True,228,234,0,0,True
