index,direction,host,cpu_models,search_process_exit,search_complete,capped,terminals,cut_count,compute_cpu_seconds,elapsed_wall_including_io,persistence_cpu_seconds,persistence_summed_wall_seconds,loading_cpu_seconds,ranking_cpu_seconds,ranking_wall_seconds,ranking_saving_wall_seconds,verification_cpu_seconds,verification_wall_seconds,reference_recovery
832,R_to_P,bosque78,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,13929,28,21.638752571,5.562137708067894,2.8817576150000006,3.7340399734675884,0.7421798140000001,1.7854702239999998,1.7855707295238972,0.027440179139375687,5.055139671,5.055267529562116,recovered
832,P_to_R,bosque79,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,13441,31,41.589386770000004,9.18038276862353,5.648069101,6.3935849871486425,1.3303341290000004,2.84944433,2.849572884850204,0.11369398608803749,5.55842438,5.558705241419375,recovered
833,R_to_P,bosque76,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,26811,86,445.3125707749998,106.01824148837477,86.07406455200004,94.7518557086587,14.483458673000001,24.771337028999998,24.77248065546155,0.22552524786442518,227.563260031,227.57758526597172,unknown
833,P_to_R,bosque76,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,33198,86,382.242457393,76.56041978672147,61.26838446,84.93853589054197,10.366385147000004,23.440470659,23.441217864863575,0.42779489420354366,45.910926604000004,45.91209262702614,recovered
834,R_to_P,bosque76,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,22662,65,272.80067887,53.043561910279095,38.666827599000015,67.4424943914637,6.715206531,12.550254833,12.550655876286328,0.11527881305664778,23.509604539999998,23.51006988156587,recovered
834,P_to_R,bosque58,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,63798,64,799.8121492020001,222.4818252660334,187.57421409600002,197.1278760060668,33.244751702,52.97904524300001,52.979727605357766,0.1421903856098652,83.337975512,83.34010139573365,recovered
835,R_to_P,bosque59,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,38224,58,272.849392955,53.00691182911396,39.484980252000014,58.90796188823879,6.839827792999999,14.696329979000001,14.698966995812953,0.31642631720751524,29.50569103,29.51154415216297,recovered
835,P_to_R,bosque59,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,51167,52,274.29225807200004,84.2786515718326,69.888122283,74.01207111775875,12.421952644999994,23.790073675,23.791425314731896,0.1842221450060606,43.924366917,43.926234195008874,recovered
836,R_to_P,bosque48,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,20708,84,182.98044132599998,37.902878819964826,27.831878395000007,33.58419654658064,5.251074279000003,11.488187805,11.488614307716489,0.10107087809592485,25.160587384,25.16170614119619,recovered
836,P_to_R,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,76545,86,1064.518565047,247.59609436430037,217.74270540200007,238.26137834507972,35.74308355100002,61.88022913299999,61.882366701960564,0.3848727950826287,112.17582883300001,112.18013011105359,recovered
837,R_to_P,bosque49,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,17084,69,170.43223944800002,32.07589546125382,21.978440809,37.17349730990827,3.9455837429999976,9.438631015,9.439096270129085,0.2079643104225397,18.828404446,18.82946057524532,recovered
837,P_to_R,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,61788,72,531.360376855,113.5522634331137,94.578585194,98.3691411903128,15.768538951000002,34.944448832999996,34.94667970016599,0.4217989528551698,68.223154452,68.22556158248335,recovered
838,R_to_P,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,30529,43,178.63736872600003,37.09094248805195,24.716777025000006,44.78404117003083,4.457195248999998,10.457854288,10.458516071550548,0.12944362964481115,20.227227993999996,20.228061768226326,recovered
838,P_to_R,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,46044,47,358.66087159999995,96.02929046563804,79.99404458199997,88.63534649368376,13.691956818000001,23.22833788,23.22972497995943,0.1475853156298399,37.953781531000004,37.95538702979684,recovered
839,R_to_P,bosque50,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,9068,49,53.71117859299999,11.29925424233079,5.9268098490000005,9.03769656457007,1.1362445580000005,3.741972878,3.742101304233074,0.3428764110431075,7.051468957000001,7.0520277470350266,recovered
839,P_to_R,bosque81,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,40245,51,191.875638378,47.167977038770914,37.84066182600001,43.023847167380154,6.4395307960000014,14.946549588,14.947093999013305,0.2779039368033409,29.869937690999997,29.8708222405985,recovered
840,R_to_P,bosque81,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,29610,57,147.201452047,30.05009486991912,21.818433498999994,22.996636043302715,3.8282024540000013,10.688015073999999,10.689933164976537,0.23871208447963,23.680563487,23.687132082879543,recovered
840,P_to_R,bosque81,Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz,0,True,True,43639,59,325.485609395,86.2193303545937,68.470062428,75.27610023412853,12.301748176999997,22.942809491,22.943157428875566,0.2246450074017048,41.734139002,41.73651189170778,recovered
