JobID|State|ExitCode|ElapsedRaw|TotalCPU|CPUTimeRAW|AllocCPUS|MaxRSS|NodeList
452980_223.batch|COMPLETED|0:0|5|00:04.888|80|16|3508K|bosque83
452980_223.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque83
452980_224|COMPLETED|0:0|4|00:06.642|64|16||bosque83
452980_224.batch|COMPLETED|0:0|4|00:06.639|64|16|3404K|bosque83
452980_224.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque83
452980_225|COMPLETED|0:0|8|00:21.149|128|16||bosque84
452980_225.batch|COMPLETED|0:0|8|00:21.145|128|16|3392K|bosque84
452980_225.extern|COMPLETED|0:0|8|00:00.003|128|16|4K|bosque84
452980_226|COMPLETED|0:0|6|00:07.366|96|16||bosque84
452980_226.batch|COMPLETED|0:0|6|00:07.362|96|16|3348K|bosque84
452980_226.extern|COMPLETED|0:0|6|00:00.003|96|16|4K|bosque84
452980_227|COMPLETED|0:0|5|00:04.878|80|16||bosque84
452980_227.batch|COMPLETED|0:0|5|00:04.874|80|16|3444K|bosque84
452980_227.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque84
452980_228|COMPLETED|0:0|5|00:04.493|80|16||bosque84
452980_228.batch|COMPLETED|0:0|5|00:04.490|80|16|3388K|bosque84
452980_228.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque84
452980_229|COMPLETED|0:0|5|00:05.231|80|16||bosque84
452980_229.batch|COMPLETED|0:0|5|00:05.228|80|16|3312K|bosque84
452980_229.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque84
452980_230|COMPLETED|0:0|5|00:05.240|80|16||bosque52
452980_230.batch|COMPLETED|0:0|5|00:05.237|80|16|3336K|bosque52
452980_230.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque52
452980_231|COMPLETED|0:0|5|00:06.771|80|16||bosque52
452980_231.batch|COMPLETED|0:0|5|00:06.768|80|16|3492K|bosque52
452980_231.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque52
452980_232|COMPLETED|0:0|5|00:18.010|80|16||bosque52
452980_232.batch|COMPLETED|0:0|5|00:18.007|80|16|3524K|bosque52
452980_232.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque52
452980_233|COMPLETED|0:0|10|00:38.642|160|16||bosque52
452980_233.batch|COMPLETED|0:0|10|00:38.639|160|16|3440K|bosque52
452980_233.extern|COMPLETED|0:0|10|00:00.003|160|16|4K|bosque52
452980_234|COMPLETED|0:0|7|00:29.041|112|16||bosque52
452980_234.batch|COMPLETED|0:0|7|00:29.038|112|16|3240K|bosque52
452980_234.extern|COMPLETED|0:0|7|00:00.003|112|16|4K|bosque52
452980_235|COMPLETED|0:0|12|00:22.219|192|16||bosque53
452980_235.batch|COMPLETED|0:0|12|00:22.216|192|16|3332K|bosque53
452980_235.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque53
452980_236|COMPLETED|0:0|5|00:03.659|80|16||bosque53
452980_236.batch|COMPLETED|0:0|5|00:03.656|80|16|3528K|bosque53
452980_236.extern|COMPLETED|0:0|5|00:00.003|80|16|3348K|bosque53
452980_237|COMPLETED|0:0|4|00:03.284|64|16||bosque53
452980_237.batch|COMPLETED|0:0|4|00:03.281|64|16|3460K|bosque53
452980_237.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque53
452980_238|COMPLETED|0:0|9|00:23.281|144|16||bosque53
452980_238.batch|COMPLETED|0:0|9|00:23.278|144|16|3532K|bosque53
452980_238.extern|COMPLETED|0:0|9|00:00.003|144|16|4K|bosque53
452980_239|COMPLETED|0:0|14|00:48.274|224|16||bosque53
452980_239.batch|COMPLETED|0:0|14|00:48.271|224|16|3424K|bosque53
452980_239.extern|COMPLETED|0:0|14|00:00.003|224|16|4K|bosque53
452980_240|COMPLETED|0:0|5|00:06.283|80|16||bosque50
452980_240.batch|COMPLETED|0:0|5|00:06.280|80|16|3456K|bosque50
452980_240.extern|COMPLETED|0:0|5|00:00.003|80|16|4K|bosque50
452980_241|COMPLETED|0:0|4|00:03.753|64|16||bosque48
452980_241.batch|COMPLETED|0:0|4|00:03.749|64|16|3376K|bosque48
452980_241.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque48
452980_242|COMPLETED|0:0|76|06:12.656|1216|16||bosque48
452980_242.batch|COMPLETED|0:0|76|06:12.653|1216|16|1691632K|bosque48
452980_242.extern|COMPLETED|0:0|76|00:00.003|1216|16|3276K|bosque48
452980_243|COMPLETED|0:0|173|13:01.652|2768|16||bosque48
452980_243.batch|COMPLETED|0:0|173|13:01.649|2768|16|5476140K|bosque48
452980_243.extern|COMPLETED|0:0|173|00:00.003|2768|16|1M|bosque48
452980_244|COMPLETED|0:0|18|01:05.084|288|16||bosque48
452980_244.batch|COMPLETED|0:0|18|01:05.081|288|16|3396K|bosque48
452980_244.extern|COMPLETED|0:0|18|00:00.003|288|16|4K|bosque48
452980_245|COMPLETED|0:0|7|00:08.886|112|16||bosque20
452980_245.batch|COMPLETED|0:0|7|00:08.882|112|16|3444K|bosque20
452980_245.extern|COMPLETED|0:0|7|00:00.003|112|16|4K|bosque20
452980_246|COMPLETED|0:0|4|00:03.727|64|16||bosque67
452980_246.batch|COMPLETED|0:0|4|00:03.724|64|16|3388K|bosque67
452980_246.extern|COMPLETED|0:0|4|00:00.003|64|16|4K|bosque67
452980_247|COMPLETED|0:0|3|00:03.992|48|16||bosque70
452980_247.batch|COMPLETED|0:0|3|00:03.989|48|16|3384K|bosque70
452980_247.extern|COMPLETED|0:0|3|00:00.003|48|16|4K|bosque70
452980_248|COMPLETED|0:0|11|00:31.067|176|16||bosque81
452980_248.batch|COMPLETED|0:0|11|00:31.064|176|16|3228K|bosque81
452980_248.extern|COMPLETED|0:0|11|00:00.003|176|16|4K|bosque81
452980_249|COMPLETED|0:0|12|00:29.065|192|16||bosque46
452980_249.batch|COMPLETED|0:0|12|00:29.062|192|16|3504K|bosque46
452980_249.extern|COMPLETED|0:0|12|00:00.003|192|16|4K|bosque46
452980_250|COMPLETED|0:0|5|00:05.530|80|16||bosque46
452980_250.batch|COMPLETED|0:0|5|00:05.526|80|16|3336K|bosque46
