index,variant,verified_positive,scope,generator_only_outcome,source_eligible,search_exit,capped,search_seconds,warning,directory
1230,cap2000,False,full checkpoint,not_recovered,62111,0,True,188.2442112597637,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1230_cap2000
1285,archive,False,full checkpoint,not_recovered,412,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1285_archive
1285,opposite,False,full checkpoint,not_recovered,128,0,False,0.5872935717925429,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1285_opposite
1285,cap2000,False,full checkpoint,not_recovered,2312,0,True,7.131325971335173,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1285_cap2000
1314,archive,False,full checkpoint,not_recovered,6908,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1314_archive
1314,opposite,False,full checkpoint,not_recovered,450,0,True,12.623869139701128,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1314_opposite
1314,cap2000,False,full checkpoint,not_recovered,23668,0,True,65.46003018971533,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1314_cap2000
1380,archive,False,full checkpoint,not_recovered,14618,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1380_archive
1380,opposite,True,full checkpoint,recovered,2212,0,True,13.925928820855916,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1380_opposite
1380,cap2000,False,full checkpoint,unknown,,timeout,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1380_cap2000
1400,archive,False,full checkpoint,not_recovered,5097,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1400_archive
1400,opposite,True,full checkpoint,recovered,2118,0,True,9.274551559938118,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1400_opposite
1400,cap2000,False,full checkpoint,not_recovered,33566,0,True,91.65439759660512,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1400_cap2000
1739,archive,False,full checkpoint,not_recovered,417,,False,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1739_archive
1739,opposite,True,full checkpoint,recovered,50,0,True,3.814577092882246,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1739_opposite
1817,archive,False,full checkpoint,not_recovered,1197,,False,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1817_archive
1817,opposite,True,full checkpoint,recovered,410,0,True,6.22074832697399,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1817_opposite
44,archive,False,full checkpoint,unknown,9873,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/44_archive
865,archive,False,full checkpoint,not_recovered,7550,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/865_archive
1033,archive,False,full checkpoint,not_recovered,2452,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1033_archive
1351,archive,False,full checkpoint,unknown,22784,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1351_archive
1522,archive,False,full checkpoint,unknown,4062,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1522_archive
1553,archive,False,full checkpoint,not_recovered,1967,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1553_archive
1568,archive,False,full checkpoint,not_recovered,12140,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1568_archive
1574,archive,False,full checkpoint,not_recovered,3259,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1574_archive
1729,archive,False,full checkpoint,unknown,4532,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1729_archive
1786,archive,False,full checkpoint,unknown,5038,,True,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1786_archive
1793,archive,False,full checkpoint,unknown,,,,,Negative generator-only verification is NOT proof of absence from assignment domains,/project/yunhengzou/coordinate_alignment/aam_benchmarks/golden_remaining_20260907/1793_archive
