index,variant,recovery,searches_complete,mapping_cpu,capped
77,tol_1p5,recovered,True,2.7740428350000004,True
77,archived_1p0,recovered,True,2.995366882,True
78,tol_1p0,recovered,True,3.6184114579999997,False
78,tol_1p5,recovered,True,3.7337829519999994,False
78,archived_1p0,recovered,True,3.5528333630000004,False
79,tol_1p0,recovered,True,2.6281805889999994,True
79,tol_1p5,recovered,True,2.4223949819999997,True
79,archived_1p0,recovered,True,2.461609212,True
80,tol_1p0,recovered,True,4.666377149000001,True
80,tol_1p5,recovered,True,4.882518311,True
80,archived_1p0,recovered,True,5.282151905000001,True
81,tol_1p0,recovered,True,3.2043870199999995,False
81,tol_1p5,recovered,True,3.124781597,False
81,archived_1p0,recovered,True,3.291796103,False
82,tol_1p0,recovered,True,1.053435895,False
82,tol_1p5,recovered,True,1.0174350209999998,False
82,archived_1p0,recovered,True,1.2125839919999999,False
83,tol_1p0,recovered,True,4.3962378929999995,True
83,tol_1p5,recovered,True,4.808453418000001,True
83,archived_1p0,recovered,True,4.85844557,True
84,tol_1p0,recovered,True,4.712387292999999,False
84,tol_1p5,recovered,True,5.038430185000001,False
84,archived_1p0,recovered,True,5.087254735,False
85,tol_1p0,recovered,True,5.066286331,False
85,tol_1p5,recovered,True,5.175481589999999,False
85,archived_1p0,recovered,True,5.28203547,False
86,tol_1p0,recovered,True,2.330260772,True
86,tol_1p5,recovered,True,2.312728623,True
86,archived_1p0,recovered,True,2.5130051580000003,True
87,tol_1p0,recovered,True,2.028327921,False
87,tol_1p5,recovered,True,1.9435831600000002,False
87,archived_1p0,recovered,True,2.0966985549999997,False
88,tol_1p0,recovered,True,3.6310671890000004,True
88,tol_1p5,recovered,True,3.3518020770000003,True
88,archived_1p0,recovered,True,3.8033022389999998,True
89,tol_1p0,recovered,True,1.690668166,False
89,tol_1p5,recovered,True,1.5787143280000002,False
89,archived_1p0,recovered,True,1.7046221569999997,False
90,tol_1p0,recovered,True,3.3730475959999997,True
90,tol_1p5,recovered,True,3.610126667,True
90,archived_1p0,recovered,True,3.324183625,True
91,tol_1p0,recovered,True,14.67457577,True
91,tol_1p5,recovered,True,15.398984097,True
91,archived_1p0,recovered,True,14.802424756999999,True
92,tol_1p0,recovered,True,2.4406646179999996,True
