step_id,n_atoms,core_size,label,ts_file,n_imag,reaction_mode_freq,core_fraction,imag_core_freq,imag_core_fraction,error
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-CD1-3.xyz,2,-291.496,0.8935851318944844,-291.496,0.8935851318944844,
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-D1G-3.xyz,2,-345.7002,0.9588819120923638,-345.7002,0.9588819120923638,
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,5,groundtruth,ts_groundtruth_01_reference_ts_01_TS11.xyz,1,3347.6361,0.9991959798994975,-255.2919,0.8054070112893642,
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS12.xyz,2,-1177.2535,0.9172947442468095,-1177.2535,0.9172947442468095,
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS13.xyz,2,1629.7027,0.9811694747274531,-144.4339,0.7629422346592045,
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS14.xyz,1,-726.7531,0.9195413758723829,-726.7531,0.9195413758723829,
pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS1.xyz,1,-828.4175,0.9725560897435896,-828.4175,0.9725560897435896,
pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2.xyz,1,-517.9022,0.740618101545254,-517.9022,0.740618101545254,
pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,105,5,groundtruth,ts_groundtruth_01_reference_ts_01_TS3.xyz,1,1674.5308,0.9759036144578312,-355.4492,0.5320088300220749,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult1_1TS-a.xyz,1,1288.966,0.3917650620647895,-64.2713,0.3714941610939216,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult3_3TS-a.xyz,1,-74.6759,0.5605044540086077,-74.6759,0.5605044540086077,
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult5_5TS-a.xyz,2,-96.328,0.5806355214662817,-96.328,0.5806355214662817,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult2_2TS-b.xyz,1,1311.9992,0.4715334259075581,-84.2339,0.4541077339753235,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult4_4TS-b.xyz,2,1310.1379,0.4697329376854599,-91.8117,0.4233706973514531,
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult6_6TS-b.xyz,1,-72.63,0.6646012392564461,-72.63,0.6646012392564461,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,72,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-c_mult2_2TS-c.xyz,1,-296.1722,0.6924845092944235,-296.1722,0.6924845092944235,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,72,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-c_mult4_4TS-c.xyz,1,-279.4015,0.7163403915301638,-279.4015,0.7163403915301638,
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,72,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-c_mult6_6TS-c.xyz,1,-347.7829,0.8316562688669753,-347.7829,0.8316562688669753,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,70,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_mult2_2TS2.xyz,4,-400.3934,0.7885322468448773,-400.3934,0.7885322468448773,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,70,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_mult4_4TS2.xyz,1,-319.9619,0.7083457674326072,-319.9619,0.7083457674326072,
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,70,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_mult6_6TS2.xyz,1,-215.4007,0.5596321103668899,-215.4007,0.5596321103668899,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult1,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult1_1TS2prime.xyz,1,-429.0533,0.8790113613713377,-429.0533,0.8790113613713377,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult3_3TS2prime.xyz,1,-397.1576,0.8636003172085651,-397.1576,0.8636003172085651,
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult5_5TS2prime.xyz,1,-348.401,0.8434703930833417,-348.401,0.8434703930833417,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,82,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult2_2TS7.xyz,3,-155.0226,0.6449384199459298,-155.0226,0.6449384199459298,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult4,82,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult4_4TS7.xyz,1,-94.9977,0.5406487785342412,-94.9977,0.5406487785342412,
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,82,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult6_6TS7.xyz,1,-103.1874,0.7812343201204216,-103.1874,0.7812343201204216,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,82,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS8_mult2_2TS8.xyz,2,460.3192,0.40319822991048987,-278.2963,0.3469795307039441,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,82,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS8_mult4_4TS8.xyz,2,-301.528,0.7289035878933653,-301.528,0.7289035878933653,
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult6,82,4,groundtruth,ts_groundtruth_01_reference_ts_01_TS8_mult6_6TS8.xyz,1,-343.0586,0.45001999200319875,-343.0586,0.45001999200319875,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult1,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult1_1TS-a.xyz,1,1288.966,0.3917650620647895,-64.2713,0.3714941610939216,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult3_3TS-a.xyz,1,-74.6759,0.5605044540086077,-74.6759,0.5605044540086077,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS-a_mult5_5TS-a.xyz,2,-96.328,0.5806355214662817,-96.328,0.5806355214662817,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult2_2TS-b.xyz,1,1311.9992,0.4715334259075581,-84.2339,0.4541077339753235,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult4_4TS-b.xyz,2,1310.1379,0.4697329376854599,-91.8117,0.4233706973514531,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,72,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS-b_mult6_6TS-b.xyz,1,-72.63,0.6646012392564461,-72.63,0.6646012392564461,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult1,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult1_1TS2prime.xyz,1,-429.0533,0.8790113613713377,-429.0533,0.8790113613713377,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult3_3TS2prime.xyz,1,-397.1576,0.8636003172085651,-397.1576,0.8636003172085651,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,83,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2_prime_mult5_5TS2prime.xyz,1,-348.401,0.8434703930833417,-348.401,0.8434703930833417,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,82,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult2_2TS7.xyz,3,-155.0226,0.6449384199459298,-155.0226,0.6449384199459298,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult4,82,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult4_4TS7.xyz,1,-94.9977,0.5406487785342412,-94.9977,0.5406487785342412,
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,82,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS7_mult6_6TS7.xyz,1,-103.1874,0.7812343201204216,-103.1874,0.7812343201204216,
pr16.carbocation_ts11,18,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts11.xyz,1,1841.3685,0.9943848390654768,-867.0498,0.9767465169890748,
pr16.carbocation_ts12,18,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts12.xyz,1,2540.1809,0.998802753666567,-707.2229,0.1291321282332967,
pr16.carbocation_ts2,18,0,groundtruth,ts_groundtruth_01_reference_ts_01_ts2.xyz,0,,,,,
pr16.carbocation_ts3,18,2,groundtruth,ts_groundtruth_01_reference_ts_01_ts3.xyz,1,-259.8605,0.8212897438453104,-259.8605,0.8212897438453104,
pr16.carbocation_ts4,18,0,groundtruth,ts_groundtruth_01_reference_ts_01_ts4.xyz,1,,,,,
pr16.carbocation_ts5,18,5,groundtruth,ts_groundtruth_01_reference_ts_01_ts5.xyz,1,1428.2652,0.8059940059940058,-390.2935,0.7990598119623924,
pr16.carbocation_ts7,18,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts7.xyz,1,1694.7637,0.9956100967774122,-948.0121,0.9641794006747375,
pr16.carbocation_ts8,18,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts8.xyz,1,1888.1249,0.9946290033817388,-666.1402,0.9620947630922692,
pr16.carbocation_ts9,18,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts9.xyz,1,3029.8915,0.9891897353000607,-731.1972,0.29650755528870215,
pr17.carbene.ins_ts6a,135,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts6a.xyz,1,-274.3105,0.5867595818815329,-274.3105,0.5867595818815329,
pr17.carbene.ins_ts8,137,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts8.xyz,2,2174.8926,0.998204846913334,-541.8806,0.9673391929684381,
pr18.Au.alkyl_tsBC,86,4,groundtruth,ts_groundtruth_01_reference_ts_01_tsBC.xyz,1,-1273.359,0.9650895268580574,-1273.359,0.9650895268580574,
pr19.heck_ts1,54,4,groundtruth,ts_groundtruth_01_reference_ts_01_ts1_cis_in.xyz,2,-300.6581,0.7739567621920563,-300.6581,0.7739567621920563,
pr19.heck_ts9,54,3,groundtruth,ts_groundtruth_01_reference_ts_01_ts9.xyz,2,1706.2668,0.9464663776590382,-118.569,0.6360168640835173,
pr2.mbh_ts1,32,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS1.xyz,0,407.9545,0.5849679743795037,,,
pr2.mbh_ts2,48,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS2.xyz,1,-42.2869,0.677521528258933,-42.2869,0.677521528258933,
pr2.mbh_ts8,48,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS8.xyz,0,1475.2689,0.5773435918202066,,,
pr3.Suzuki.Ni_ts11.TM,118,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS11.xyz,1,-105.7744,0.5382925611582625,-105.7744,0.5382925611582625,
pr3.Suzuki.Ni_ts14.RE,98,3,groundtruth,ts_groundtruth_01_reference_ts_01_TS14.xyz,1,-373.8225,0.703033316757832,-373.8225,0.703033316757832,
pr3.Suzuki.Ni_ts7.OA,99,2,groundtruth,ts_groundtruth_01_reference_ts_01_TS7.xyz,1,167.4135,0.37728643216080404,-37.2669,0.06682625174546179,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-A,24,4,groundtruth,ts_groundtruth_01_reference_ts_01_5-sulf.xyz,1,-219.1233,0.8000799280647418,-219.1233,0.8000799280647418,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-B,24,0,groundtruth,ts_groundtruth_01_reference_ts_01_5-SN2.xyz,1,,,,,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-C,24,3,groundtruth,ts_groundtruth_01_reference_ts_01_5-conc2.xyz,1,-140.6383,0.6989215098861593,-140.6383,0.6989215098861593,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-D,24,3,groundtruth,ts_groundtruth_01_reference_ts_01_5-conc1.xyz,1,-250.9615,0.750934249065751,-250.9615,0.750934249065751,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-A,37,4,groundtruth,ts_groundtruth_01_reference_ts_01_8-sulf.xyz,1,-141.7771,0.7768159203980101,-141.7771,0.7768159203980101,
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-B,37,4,groundtruth,ts_groundtruth_01_reference_ts_01_8-SN2.xyz,1,-278.3092,0.9027917252460336,-278.3092,0.9027917252460336,
