dataset,step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds,mechanism,step
Benchmark,pr17.carbene.ins_ts6a,135,135,1,1,0,1,10(C)-22(Rh),82(C)-105(C),pr17.carbene.ins,ts6a
Benchmark,pr17.carbene.ins_ts8,137,135,2,2,0,1,10(C)-135(N);135(N)-136(N),10(C)-22(Rh);135(N)-136(N),pr17.carbene.ins,ts8
Benchmark,pr18.Au.alkyl_tsBC,86,86,2,1,1,1,21(C)-23(Au);64(C)-71(H),28(C)-29(H),pr18.Au.alkyl,tsBC
Benchmark,pr19.heck_ts1,54,54,2,2,0,1,2(C)-3(C);33(Pd)-34(C),2(C)-24(C);3(C)-45(Pd),pr19.heck,ts1
Benchmark,pr19.heck_ts9,54,54,1,1,0,1,5(C)-13(H),13(H)-45(Pd),pr19.heck,ts9
Benchmark,pr2.mbh_ts1,32,32,1,1,0,1,20(C)-21(C),5(C)-6(N),pr2.mbh,ts1
Benchmark,pr2.mbh_ts2,48,48,1,1,0,1,32(C)-47(O),14(C)-15(C),pr2.mbh,ts2
Benchmark,pr2.mbh_ts8,48,48,1,1,0,1,4(N)-20(C),0(C)-1(C),pr2.mbh,ts8
Benchmark,pr3.Suzuki.Ni_ts11.TM,118,118,1,1,-1,2,100(B)-101(C),19(Ni)-102(C),pr3.Suzuki.Ni,ts11.TM
Benchmark,pr3.Suzuki.Ni_ts14.RE,98,98,2,1,-1,2,0(Ni)-1(C);0(Ni)-83(C),0(C)-30(C),pr3.Suzuki.Ni,ts14.RE
Benchmark,pr3.Suzuki.Ni_ts7.OA,99,99,1,0,-1,2,17(C)-35(O),,pr3.Suzuki.Ni,ts7.OA
Benchmark,pr4.Suzuki-Brcleavage_ts1.Br-cleavage-A,24,24,1,1,0,1,2(C)-4(Br),1(S)-5(Pd),pr4.Suzuki-Brcleavage,ts1.Br-cleavage-A
Benchmark,pr4.Suzuki-Brcleavage_ts1.Br-cleavage-B,24,24,0,0,0,1,,,pr4.Suzuki-Brcleavage,ts1.Br-cleavage-B
Benchmark,pr4.Suzuki-Brcleavage_ts1.Br-cleavage-C,24,24,1,1,0,1,4(C)-11(Br),1(Pd)-3(C),pr4.Suzuki-Brcleavage,ts1.Br-cleavage-C
Benchmark,pr4.Suzuki-Brcleavage_ts1.Br-cleavage-D,24,24,1,1,0,1,2(Br)-3(C),1(Pd)-3(C),pr4.Suzuki-Brcleavage,ts1.Br-cleavage-D
Benchmark,pr4.Suzuki-Brcleavage_ts2.Br-cleavage-A,37,37,1,1,0,1,2(C)-4(Br),1(S)-5(Pd),pr4.Suzuki-Brcleavage,ts2.Br-cleavage-A
Benchmark,pr4.Suzuki-Brcleavage_ts2.Br-cleavage-B,37,37,1,2,0,1,3(C)-10(Br),1(O)-11(Pd);3(C)-11(Pd),pr4.Suzuki-Brcleavage,ts2.Br-cleavage-B
Benchmark,pr4.Suzuki-Brcleavage_ts2.Br-cleavage-C,37,37,1,1,0,1,1(Br)-2(C),2(C)-11(Pd),pr4.Suzuki-Brcleavage,ts2.Br-cleavage-C
Benchmark,pr4.Suzuki-Brcleavage_ts2.Br-cleavage-D,37,37,1,1,0,1,1(Br)-2(C),2(C)-11(Pd),pr4.Suzuki-Brcleavage,ts2.Br-cleavage-D
Benchmark,pr5.Noyori_ts26,90,88,1,2,0,1,86(H)-87(H),0(Ru)-2(H);87(O)-89(H),pr5.Noyori,ts26
Benchmark,pr5.Noyori_ts45,88,88,2,2,0,1,26(Ru)-46(O);30(N)-66(H),0(Ru)-10(N);85(O)-87(H),pr5.Noyori,ts45
Benchmark,pr5.Noyori_ts56,87,85,1,2,0,1,85(H)-86(H),0(Ru)-2(H);9(N)-46(H),pr5.Noyori,ts56
Benchmark,pr5.Noyori_ts5H2,87,87,0,0,0,1,,,pr5.Noyori,ts5H2
Benchmark,pr5.Noyori_ts65,95,93,3,2,0,1,0(Ru)-2(H);11(N)-45(H);88(C)-93(O),45(O)-52(H);46(C)-71(H),pr5.Noyori,ts65
Benchmark,pr6.AlNHCs_tsI,59,59,1,0,0,1,0(C)-7(Al),,pr6.AlNHCs,tsI
Benchmark,pr6.AlNHCs_tsII,59,59,0,1,0,1,,4(C)-9(Al),pr6.AlNHCs,tsII
Benchmark,pr7.V.dodh_ts1011-triplet,38,38,1,1,-1,3,0(V)-18(O),11(P)-19(O),pr7.V.dodh,ts1011-triplet
Benchmark,pr7.V.dodh_ts1015,38,38,0,1,-1,1,,12(V)-22(P),pr7.V.dodh,ts1015
Benchmark,pr7.V.dodh_ts1112-triplet,38,38,1,1,-1,3,17(C)-18(O),8(V)-19(O),pr7.V.dodh,ts1112-triplet
Benchmark,pr7.V.dodh_ts13,31,31,0,1,-1,1,,10(V)-15(P),pr7.V.dodh,ts13
Benchmark,pr7.V.dodh_ts1314,38,38,2,2,-1,1,8(V)-18(C);16(O)-17(C),10(V)-17(O);32(C)-33(C),pr7.V.dodh,ts1314
Benchmark,pr7.V.dodh_ts14,31,31,1,1,-1,1,0(V)-2(O),2(O)-18(P),pr7.V.dodh,ts14
Benchmark,pr7.V.dodh_ts141,32,32,0,1,-1,1,,0(V)-5(O),pr7.V.dodh,ts141
Benchmark,pr7.V.dodh_ts156,38,38,2,1,-1,1,12(V)-21(O);12(V)-22(P),24(O)-25(P),pr7.V.dodh,ts156
Benchmark,pr7.V.dodh_ts19,28,28,2,2,-1,1,0(V)-2(O);21(O)-22(H),8(V)-9(O);15(O)-27(H),pr7.V.dodh,ts19
Benchmark,pr7.V.dodh_ts25-singlet,27,27,2,2,-1,1,0(V)-2(O);20(O)-21(H),6(V)-14(O);7(O)-18(H),pr7.V.dodh,ts25-singlet
Benchmark,pr7.V.dodh_ts25-triplet,27,27,2,2,-1,3,0(V)-2(O);20(O)-21(H),6(V)-14(O);7(O)-18(H),pr7.V.dodh,ts25-triplet
Benchmark,pr7.V.dodh_ts32,31,31,2,2,-1,1,10(V)-13(O);10(V)-15(P),0(V)-1(O);17(O)-18(P),pr7.V.dodh,ts32
Benchmark,pr7.V.dodh_ts45-singlet,41,41,2,2,-1,1,0(V)-1(O);34(O)-35(H),6(V)-14(O);7(O)-18(H),pr7.V.dodh,ts45-singlet
Benchmark,pr7.V.dodh_ts45-triplet,41,41,2,2,-1,3,0(V)-1(O);34(O)-35(H),6(V)-14(O);7(O)-18(H),pr7.V.dodh,ts45-triplet
Benchmark,pr7.V.dodh_ts56-singlet,27,27,2,2,-1,1,7(O)-18(H);16(C)-17(O),12(O)-19(C);24(O)-26(H),pr7.V.dodh,ts56-singlet
Benchmark,pr7.V.dodh_ts56-triplet,27,27,2,2,-1,3,7(O)-18(H);16(C)-17(O),12(O)-19(C);24(O)-26(H),pr7.V.dodh,ts56-triplet
Benchmark,pr7.V.dodh_ts61,24,24,2,3,-1,1,12(O)-19(C);17(O)-18(C),0(V)-1(O);0(V)-2(O);18(C)-19(C),pr7.V.dodh,ts61
Benchmark,pr7.V.dodh_ts67,24,24,1,1,-1,3,17(O)-18(C),0(V)-15(O),pr7.V.dodh,ts67
Benchmark,pr7.V.dodh_ts71,24,24,1,2,-1,3,16(O)-17(C),0(V)-2(O);18(C)-19(C),pr7.V.dodh,ts71
Benchmark,pr7.V.dodh_ts81,24,24,2,2,-1,1,0(V)-21(C);1(O)-18(C),0(V)-2(O);18(C)-19(C),pr7.V.dodh,ts81
Benchmark,pr7.V.dodh_ts81-b,24,24,2,2,-1,1,6(V)-9(C);7(O)-8(C),0(V)-2(O);18(C)-19(C),pr7.V.dodh,ts81-b
Benchmark,pr7.V.dodh_ts910,28,28,2,2,-1,1,11(C)-12(O);15(O)-27(H),2(O)-20(C);25(O)-27(H),pr7.V.dodh,ts910
Benchmark,pr7.V.dodh_ts910-water,31,31,2,2,-1,1,11(C)-12(O);15(O)-27(H),11(C)-12(O);18(O)-22(H),pr7.V.dodh,ts910-water
Benchmark,pr8.ketenes_ts1prime,63,63,1,0,0,1,0(C)-2(C),,pr8.ketenes,ts1prime
Benchmark,pr8.ketenes_ts2prime,63,63,0,1,0,1,,0(C)-18(O),pr8.ketenes,ts2prime
Benchmark,pr9.carbene.rearr_ts10,18,18,1,2,0,1,2(C)-16(C),2(C)-16(C);16(C)-17(C),pr9.carbene.rearr,ts10
Benchmark,pr9.carbene.rearr_ts11,60,60,2,1,0,1,18(C)-22(C);21(C)-22(C),58(C)-59(O),pr9.carbene.rearr,ts11
Benchmark,pr9.carbene.rearr_ts13a,24,24,1,2,0,1,5(C)-22(C),3(C)-4(C);3(C)-12(C),pr9.carbene.rearr,ts13a
Benchmark,pr9.carbene.rearr_ts33,60,57,9,12,0,1,16(C)-17(C);20(C)-21(C);22(C)-23(O);24(C)-25(O);24(C)-26(O);27(C)-28(O);27(C)-29(O);38(C)-39(C);38(C)-40(C),16(C)-18(C);17(C)-21(C);18(C)-22(C);18(C)-24(C);21(C)-27(C);22(C)-23(O);24(C)-25(O);24(C)-26(O);27(C)-28(O);27(C)-29(O);38(C)-39(C);38(C)-40(C),pr9.carbene.rearr,ts33
Benchmark,pr9.carbene.rearr_ts39-endo,40,40,1,2,0,1,36(C)-38(C),6(C)-26(C);6(C)-27(C),pr9.carbene.rearr,ts39-endo
Benchmark,pr9.carbene.rearr_ts41a-endo,40,40,1,2,0,1,6(C)-38(C),5(C)-6(C);5(C)-36(C),pr9.carbene.rearr,ts41a-endo
Benchmark,pr9.carbene.rearr_ts42,60,60,1,2,0,1,2(C)-3(C),17(C)-20(C);17(C)-21(C),pr9.carbene.rearr,ts42
Benchmark,pr9.carbene.rearr_ts47a,40,40,2,2,0,1,3(C)-4(C);36(C)-38(C),6(C)-36(C);6(C)-38(C),pr9.carbene.rearr,ts47a
Jackie,Jackie_TS_01,33,33,1,2,0,1,4(C)-17(O),4(C)-5(I);15(S)-17(O),Jackie,TS_01
Jackie,Jackie_TS_02,23,23,2,2,0,1,1(C)-7(N);3(C)-6(N),1(C)-7(N);3(C)-6(N),Jackie,TS_02
Jackie,Jackie_TS_03,24,24,2,1,0,1,10(C)-13(C);19(C)-21(C),10(C)-21(C),Jackie,TS_03
Jackie,Jackie_TS_04,61,59,3,4,0,1,0(Pd)-9(C);6(O)-8(H);26(O)-27(H),0(Pd)-26(O);3(B)-6(O);4(O)-28(H);7(H)-9(C),Jackie,TS_04
Jackie,Jackie_TS_05,35,35,2,2,-1,1,0(C)-19(C);1(O)-2(O),0(C)-2(O);1(O)-19(C),Jackie,TS_05
Jackie,Jackie_TS_06,77,77,1,2,0,1,13(C)-28(O),2(Ni)-15(C);2(Ni)-28(O),Jackie,TS_06
Jackie,Jackie_TS_07,53,53,1,1,0,1,5(C)-12(C),12(C)-15(C),Jackie,TS_07
Jackie,Jackie_TS_08,37,37,2,1,1,1,6(Pt)-9(C);6(Pt)-11(C),9(C)-11(C),Jackie,TS_08
Jackie,Jackie_TS_09,65,65,1,1,0,1,9(C)-10(C),10(C)-14(N),Jackie,TS_09
Jackie,Jackie_TS_10,56,56,4,4,0,1,0(C)-1(C);29(C)-37(N);29(C)-38(C);45(C)-49(C),0(C)-37(N);1(C)-40(C);29(C)-38(C);45(C)-49(C),Jackie,TS_10
