step_id,n_atoms,n_mapped,n_broken,n_formed,charge,multiplicity,broken_bonds,formed_bonds
pr11.cycloadditions_tsIIIb,64,64,1,1,0,1,1(C)-12(C),1(C)-18(N)
pr11.cycloadditions_tsIIa,67,67,0,1,0,1,,36(C)-4(C)
pr11.cycloadditions_tsIIb,67,67,0,1,0,1,,36(C)-4(C)
pr11.cycloadditions_tsIVa,64,64,0,1,0,1,,32(C)-0(C)
pr11.cycloadditions_tsIVb,64,64,0,1,0,1,,32(C)-0(C)
pr11.cycloadditions_tsIa,67,67,1,1,0,1,4(C)-5(C),4(C)-21(N)
pr11.cycloadditions_tsIb,67,67,1,1,0,1,4(C)-5(C),4(C)-21(N)
pr12.Co_Silylation_JACS2015_TS_B-CStep1,123,123,1,2,-1,4,4(N)-6(N),0(Co)-4(N);6(N)-110(Si)
pr12.Co_Silylation_JACS2015_TS_C-DStep2,136,136,1,1,-1,5,18(N)-20(N),123(Si)-20(N)
pr12.Co_Silylation_JACS2015_TS_Dstar-Estar,149,149,1,1,-1,6,0(Co)-132(N),132(N)-136(Si)
pr13.Cyclobutane_JOC2023_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N)
pr13.Cyclobutane_JOC2023_TS-CD_step1,46,44,3,1,0,1,0(C)-8(N);1(C)-8(N);8(N)-42(N),44(H)-45(Cl)
pr13.Cyclobutane_JOC2023_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N)
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-CD1-3_step2,46,46,1,1,0,3,1(C)-8(N),8(N)-42(N)
pr13.Cyclobutane_JOC2023_multiplicity_fixed_TS-D1G-3_step3G,46,46,1,1,0,3,8(N)-42(N),1(C)-42(N)
pr14.Pd_hydroamination_JOC2025_TS11_step1_reductive_coupling,133,133,2,2,0,1,89(Pd)-91(C);130(N)-132(H),86(O)-132(H);91(C)-130(N)
pr14.Pd_hydroamination_JOC2025_TS12_step2_prot_oxidation,133,133,2,1,0,1,86(O)-89(H);95(C)-97(C),97(C)-89(H)
pr14.Pd_hydroamination_JOC2025_TS13_step3_bHelimination,133,133,2,2,0,1,88(Pd)-95(C);92(C)-99(H),99(H)-88(Pd);92(C)-95(C)
pr14.Pd_hydroamination_JOC2025_TS14_step4_reductive_elimination,133,133,2,1,0,1,87(O)-89(Pd);88(H)-89(Pd),86(O)-88(H)
pr14.Pd_hydroamination_JOC2025_TS1_step1_OxidativeAdition_bluepath,90,90,1,1,0,1,77(O)-84(H),84(H)-74(Pd)
pr14.Pd_hydroamination_JOC2025_TS2_step1_OxidativeAdition_blackpath,90,90,1,1,0,1,77(O)-84(H),84(H)-74(Pd)
pr14.Pd_hydroamination_JOC2025_TS3_step2_alkene_inserion,105,105,2,3,0,1,88(H)-89(Pd);95(C)-96(C),89(Pd)-91(C);89(Pd)-96(C);95(C)-88(H)
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,1(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,46(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,46(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult2,72,72,2,1,0,2,16(Fe)-26(C);16(Fe)-28(C),26(C)-28(C)
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult4,72,72,2,1,0,4,16(Fe)-24(C);16(Fe)-26(C),24(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_TS-c_step3_reductive_elimination_mult6,72,72,2,1,0,6,16(Fe)-24(C);16(Fe)-26(C),24(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult2,70,70,2,1,0,2,46(Fe)-47(C);46(Fe)-59(C),59(C)-47(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult4,70,70,2,1,0,4,12(Fe)-15(C);12(Fe)-26(C),15(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_Step3_bluepath_side_reation_mult6,70,70,2,1,0,6,46(Fe)-47(C);46(Fe)-59(C),59(C)-47(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),74(C)-59(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult3,83,83,1,1,0,3,12(Fe)-15(C),74(C)-15(C)
pr15.Fe_crosscoupling_ACScat2023_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),74(C)-59(C)
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-73(C)
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-73(C)
pr15.Fe_crosscoupling_ACScat2023_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,11(P)-12(Fe),12(Fe)-73(C)
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult2,82,82,2,1,0,2,12(Fe)-26(C);12(Fe)-37(C),37(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult4,82,82,2,1,0,4,12(Fe)-26(C);12(Fe)-37(C),37(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_TS8_step2_reductive_elimination_mult6,82,82,2,2,0,6,12(Fe)-26(C);12(Fe)-37(C),12(Fe)-10(P);37(C)-26(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult1,83,83,1,1,0,1,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult3,83,83,1,1,0,3,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-a_step1_halogen_abstraction_mult5,83,83,1,1,0,5,73(C)-75(Br),12(Fe)-75(Br)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult2,72,72,0,1,0,2,,1(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult4,72,72,0,1,0,4,,46(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS-b_step2_radical_recombination_mult6,72,72,0,1,0,6,,46(Fe)-63(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult1,83,83,1,1,0,1,46(Fe)-59(C),74(C)-59(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult3,83,83,1,1,0,3,12(Fe)-15(C),74(C)-15(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS2_prime_step2_redPath_mult5,83,83,1,1,0,5,46(Fe)-59(C),74(C)-59(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult2,82,82,0,1,0,2,,12(Fe)-73(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult4,82,82,0,1,0,4,,12(Fe)-73(C)
pr15.Fe_crosscoupling_ACScat2023_multiplicity_fixed_TS7_step1_radical_recombination_mult6,82,82,1,1,0,6,11(P)-12(Fe),12(Fe)-73(C)
pr16.carbocation_ts11,18,18,1,1,1,1,3(C)-10(H),2(C)-10(H)
pr16.carbocation_ts12,18,18,2,1,1,1,2(C)-10(H);12(C)-16(C),16(C)-10(H)
pr16.carbocation_ts2,18,18,0,0,1,1,,
pr16.carbocation_ts3,18,18,0,1,1,1,,10(C)-14(C)
pr16.carbocation_ts4,18,18,0,0,1,1,,
pr16.carbocation_ts5,18,18,3,1,1,1,1(C)-2(C);2(C)-6(C);8(C)-14(C),2(C)-14(C)
pr16.carbocation_ts7,18,18,1,2,1,1,4(C)-9(H),5(C)-4(C);14(C)-9(H)
pr16.carbocation_ts8,18,18,2,1,1,1,3(C)-10(H);12(C)-16(C),16(C)-10(H)
pr16.carbocation_ts9,18,18,1,1,1,1,14(C)-15(H),2(C)-15(H)
pr17.carbene.ins_ts6a,135,135,1,1,0,1,10(C)-22(Rh),10(C)-45(C)
pr17.carbene.ins_ts8,137,135,2,2,0,1,10(C)-135(N);135(N)-136(N),10(C)-22(Rh);135(N)-136(N)
pr18.Au.alkyl_tsBC,86,86,2,1,1,1,21(C)-23(Au);64(C)-71(H),21(C)-71(H)
pr19.heck_ts1,54,54,2,2,0,1,2(C)-3(C);33(Pd)-34(C),2(C)-34(C);3(C)-33(Pd)
pr19.heck_ts9,54,54,1,1,0,1,5(C)-13(H),13(H)-45(Pd)
pr2.mbh_ts1,32,32,1,1,0,1,20(C)-21(C),20(C)-4(N)
pr2.mbh_ts2,48,48,1,1,0,1,32(C)-47(O),4(C)-32(C)
pr2.mbh_ts8,48,48,1,1,0,1,4(N)-20(C),20(C)-21(C)
pr3.Suzuki.Ni_ts11.TM,118,118,1,1,-1,2,100(B)-101(C),19(Ni)-101(C)
pr3.Suzuki.Ni_ts14.RE,98,98,2,1,-1,2,0(Ni)-1(C);0(Ni)-83(C),1(C)-83(C)
pr3.Suzuki.Ni_ts7.OA,99,99,1,0,-1,2,17(C)-35(O),
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-A,24,24,1,1,0,1,2(C)-4(Br),1(S)-5(Pd)
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-B,24,24,0,0,0,1,,
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-C,24,24,1,1,0,1,4(C)-11(Br),0(Pd)-4(C)
pr4.Suzuki-Brcleavage_ts1.Br-cleavage-D,24,24,1,1,0,1,2(Br)-3(C),1(Pd)-3(C)
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-A,37,37,1,1,0,1,2(C)-4(Br),1(S)-5(Pd)
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-B,37,37,1,2,0,1,3(C)-10(Br),1(O)-11(Pd);3(C)-11(Pd)
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-C,37,37,1,1,0,1,1(Br)-2(C),2(C)-11(Pd)
pr4.Suzuki-Brcleavage_ts2.Br-cleavage-D,37,37,1,1,0,1,1(Br)-2(C),2(C)-11(Pd)
pr5.Noyori_ts26,90,88,1,2,0,1,86(H)-87(H),32(Ru)-2(C);88(O)-89(H)
pr5.Noyori_ts45,88,88,2,2,0,1,26(Ru)-46(O);27(N)-48(H),26(Ru)-27(N);46(O)-48(H)
pr5.Noyori_ts56,87,85,1,2,0,1,85(H)-86(H),32(Ru)-2(C);33(N)-46(H)
pr5.Noyori_ts5H2,87,87,0,0,0,1,,
pr5.Noyori_ts65,95,93,3,2,0,1,0(Ru)-2(H);9(N)-46(H);88(C)-93(O),93(O)-52(H);88(C)-71(C)
pr6.AlNHCs_tsI,59,59,1,0,0,1,0(C)-7(Al),
pr6.AlNHCs_tsII,59,59,0,1,0,1,,4(C)-33(Al)
pr7.V.dodh_ts1011-triplet,38,38,1,1,-1,3,0(V)-18(O),25(P)-18(O)
pr7.V.dodh_ts1015,38,38,0,1,-1,1,,0(V)-25(P)
pr7.V.dodh_ts1112-triplet,38,38,1,1,-1,3,17(C)-18(O),10(V)-18(O)
pr7.V.dodh_ts13,31,31,0,1,-1,1,,0(V)-18(P)
pr7.V.dodh_ts1314,38,38,2,2,-1,1,8(V)-18(C);16(O)-17(C),8(V)-16(O);17(C)-18(C)
pr7.V.dodh_ts14,31,31,1,1,-1,1,0(V)-2(O),2(O)-18(P)
pr7.V.dodh_ts141,32,32,0,1,-1,1,,10(V)-11(O)
pr7.V.dodh_ts156,38,38,2,1,-1,1,12(V)-21(O);12(V)-22(P),21(O)-22(P)
pr7.V.dodh_ts19,28,28,2,2,-1,1,0(V)-2(O);20(O)-23(H),0(V)-20(O);2(O)-23(H)
pr7.V.dodh_ts25-singlet,27,27,2,2,-1,1,0(V)-2(O);20(O)-21(H),0(V)-20(O);2(O)-21(H)
pr7.V.dodh_ts25-triplet,27,27,2,2,-1,3,0(V)-2(O);20(O)-21(H),0(V)-20(O);2(O)-21(H)
pr7.V.dodh_ts32,31,31,2,2,-1,1,10(V)-13(O);10(V)-15(P),10(V)-7(O);13(O)-15(P)
pr7.V.dodh_ts45-singlet,41,41,2,2,-1,1,0(V)-1(O);31(C)-34(O),0(V)-34(O);1(O)-31(C)
pr7.V.dodh_ts45-triplet,41,41,2,2,-1,3,0(V)-1(O);31(C)-34(O),0(V)-34(O);1(O)-31(C)
pr7.V.dodh_ts56-singlet,27,27,2,2,-1,1,6(V)-7(O);17(O)-26(H),6(V)-17(O);7(O)-26(H)
pr7.V.dodh_ts56-triplet,27,27,2,2,-1,3,6(V)-7(O);17(O)-26(H),6(V)-17(O);7(O)-26(H)
pr7.V.dodh_ts61,24,24,2,3,-1,1,12(O)-19(C);17(O)-18(C),6(V)-12(O);6(V)-17(O);18(C)-19(C)
pr7.V.dodh_ts67,24,24,1,1,-1,3,12(O)-19(C),6(V)-12(O)
pr7.V.dodh_ts71,24,24,1,2,-1,3,16(O)-17(C),0(V)-16(O);21(C)-17(C)
pr7.V.dodh_ts81,24,24,2,2,-1,1,0(V)-21(C);1(O)-18(C),0(V)-1(O);18(C)-21(C)
pr7.V.dodh_ts81-b,24,24,2,2,-1,1,6(V)-9(C);7(O)-8(C),6(V)-7(O);9(C)-8(C)
pr7.V.dodh_ts910,28,28,2,2,-1,1,11(C)-12(O);15(O)-27(H),15(O)-11(C);12(O)-27(H)
pr7.V.dodh_ts910-water,31,31,2,2,-1,1,11(C)-12(O);15(O)-27(H),15(O)-11(C);12(O)-27(H)
pr8.ketenes_ts1prime,63,63,1,0,0,1,0(C)-2(C),
pr8.ketenes_ts2prime,63,63,0,2,0,1,,0(C)-18(O);27(O)-48(Sc)
pr9.carbene.rearr_ts10,18,18,1,2,0,1,2(C)-16(C),2(C)-17(C);16(C)-17(C)
pr9.carbene.rearr_ts11,60,60,2,1,0,1,18(C)-22(C);21(C)-22(C),22(C)-23(O)
pr9.carbene.rearr_ts13a,24,24,1,2,0,1,5(C)-22(C),6(C)-5(C);6(C)-22(C)
pr9.carbene.rearr_ts33,60,58,5,19,0,1,1(C)-17(C);16(C)-17(C);18(C)-19(C);20(C)-21(C);51(C)-55(H),1(C)-49(C);49(C)-16(C);16(C)-18(C);19(C)-22(C);19(C)-24(C);21(C)-20(C);20(C)-18(C);20(C)-49(C);49(C)-50(C);49(C)-51(C);50(C)-52(C);50(C)-53(H);51(C)-54(C);51(C)-55(H);52(C)-56(C);52(C)-57(H);54(C)-56(C);54(C)-58(H);56(C)-59(H)
pr9.carbene.rearr_ts39-endo,40,40,1,2,0,1,36(C)-38(C),6(C)-36(C);6(C)-38(C)
pr9.carbene.rearr_ts41a-endo,40,40,1,2,0,1,6(C)-36(C),5(C)-6(C);5(C)-36(C)
pr9.carbene.rearr_ts42,60,60,1,2,0,1,2(C)-3(C),59(C)-3(C);59(C)-2(C)
pr9.carbene.rearr_ts47a,40,40,2,2,0,1,3(C)-4(C);36(C)-38(C),3(C)-38(C);3(C)-36(C)
